y_pred,y_true,y_score,y_probscore
0,0,"[0.9333994246055392, 0.06660057539446086]",0.06660057539446086
0,0,"[0.9775631895485025, 0.022436810451497452]",0.022436810451497452
1,1,"[0.7375512979181085, 0.2624487020818915]",0.2624487020818915
1,0,"[0.862557954584392, 0.13744204541560798]",0.13744204541560798
0,0,"[0.9333994246055392, 0.06660057539446086]",0.06660057539446086
1,0,"[0.9015689304506399, 0.09843106954936007]",0.09843106954936007
1,0,"[0.38247884086127937, 0.6175211591387206]",0.6175211591387206
1,0,"[0.8320742832262746, 0.16792571677372534]",0.16792571677372534
0,0,"[0.939039990530051, 0.060960009469949]",0.060960009469949
1,0,"[0.8785190359426623, 0.12148096405733765]",0.12148096405733765
1,0,"[0.08553293081680924, 0.9144670691831908]",0.9144670691831908
1,0,"[0.8184498202466342, 0.18155017975336582]",0.18155017975336582
1,0,"[0.9206403932635606, 0.07935960673643934]",0.07935960673643934
1,0,"[0.9272773620432979, 0.07272263795670204]",0.07272263795670204
1,0,"[0.9015689304506399, 0.09843106954936007]",0.09843106954936007
1,1,"[0.8509637543405495, 0.14903624565945045]",0.14903624565945045
0,0,"[0.9554453056729809, 0.04455469432701904]",0.04455469432701904
0,0,"[0.9533896025691343, 0.04661039743086572]",0.04661039743086572
1,1,"[0.3937013642036524, 0.6062986357963476]",0.6062986357963476
0,0,"[0.939039990530051, 0.060960009469949]",0.060960009469949
1,1,"[0.8253667827978894, 0.1746332172021105]",0.1746332172021105
1,0,"[0.9206403932635606, 0.07935960673643934]",0.07935960673643934
1,0,"[0.755432668406535, 0.24456733159346503]",0.24456733159346503
1,1,"[0.4396112316876061, 0.5603887683123939]",0.5603887683123939
1,0,"[0.9015689304506399, 0.09843106954936007]",0.09843106954936007
1,1,"[0.8928568045722254, 0.10714319542777458]",0.10714319542777458
1,1,"[0.8733843939408334, 0.1266156060591665]",0.1266156060591665
1,0,"[0.9134542407813762, 0.08654575921862386]",0.08654575921862386
1,0,"[0.9171181341648675, 0.08288186583513243]",0.08288186583513243
1,0,"[0.8320742832262746, 0.16792571677372534]",0.16792571677372534
1,0,"[0.924025365843539, 0.07597463415646098]",0.07597463415646098
1,0,"[0.9304006453627348, 0.06959935463726523]",0.06959935463726523
1,0,"[0.8448700924934313, 0.15512990750656874]",0.15512990750656874
1,1,"[0.7886554844385946, 0.21134451556140546]",0.21134451556140546
1,0,"[0.9015689304506399, 0.09843106954936007]",0.09843106954936007
1,0,"[0.9056840330729067, 0.09431596692709329]",0.09431596692709329
1,0,"[0.764058416358, 0.23594158364199996]",0.23594158364199996
0,0,"[0.9730202943845409, 0.02697970561545913]",0.02697970561545913
1,0,"[0.803980362722021, 0.19601963727797905]",0.19601963727797905
1,0,"[0.8785190359426623, 0.12148096405733765]",0.12148096405733765
1,0,"[0.9056840330729067, 0.09431596692709329]",0.09431596692709329
1,1,"[0.803980362722021, 0.19601963727797905]",0.19601963727797905
1,0,"[0.9304006453627348, 0.06959935463726523]",0.06959935463726523
0,0,"[0.9362778467259872, 0.06372215327401276]",0.06372215327401276
1,1,"[0.6791176855164809, 0.32088231448351917]",0.32088231448351917
1,0,"[0.8882510917369435, 0.11174890826305649]",0.11174890826305649
1,0,"[0.8785190359426623, 0.12148096405733765]",0.12148096405733765
1,0,"[0.4050371922506044, 0.5949628077493956]",0.5949628077493956
1,0,"[0.9134542407813762, 0.08654575921862386]",0.08654575921862386
1,1,"[0.8448700924934313, 0.15512990750656874]",0.15512990750656874
1,1,"[0.6893281034937178, 0.3106718965062823]",0.3106718965062823
1,0,"[0.8834732341858323, 0.11652676581416763]",0.11652676581416763
1,1,"[0.7886554844385946, 0.21134451556140546]",0.21134451556140546
1,0,"[0.8928568045722254, 0.10714319542777458]",0.10714319542777458
1,0,"[0.9272773620432979, 0.07272263795670204]",0.07272263795670204
1,0,"[0.8785190359426623, 0.12148096405733765]",0.12148096405733765
1,0,"[0.7964252471534614, 0.2035747528465386]",0.2035747528465386
1,0,"[0.7886554844385946, 0.21134451556140546]",0.21134451556140546
0,0,"[0.9644891397475579, 0.03551086025244208]",0.03551086025244208
1,0,"[0.8385745418920649, 0.16142545810793507]",0.16142545810793507
0,0,"[0.9442313854535689, 0.055768614546431144]",0.055768614546431144
1,0,"[0.9015689304506399, 0.09843106954936007]",0.09843106954936007
1,0,"[0.8972946423600993, 0.10270535763990078]",0.10270535763990078
