y_pred,y_true,y_score,y_probscore
0,0,"[0.9941895, 0.005810465]",0.005810465198010206
0,0,"[0.9879046, 0.012095417]",0.012095416896045208
1,1,"[0.3904595, 0.6095405]",0.6095405220985413
0,0,"[0.9992448, 0.00075522246]",0.0007552224560640752
0,0,"[0.9827511, 0.017248869]",0.017248868942260742
0,0,"[0.9998982, 0.00010179463]",0.00010179462697124109
0,0,"[0.84325856, 0.15674144]",0.1567414402961731
0,0,"[0.996089, 0.0039110007]",0.0039110006764531136
0,0,"[0.9999907, 9.26577e-06]",9.265770131605677e-06
1,0,"[0.041559212, 0.9584408]",0.9584407806396484
1,0,"[0.0050802412, 0.9949197]",0.9949197173118591
0,0,"[0.9981762, 0.0018237438]",0.0018237438052892685
0,0,"[0.98254585, 0.017454209]",0.017454208806157112
0,0,"[0.9645911, 0.035408903]",0.035408902913331985
0,0,"[0.9509512, 0.049048763]",0.049048762768507004
0,1,"[0.9450364, 0.05496359]",0.05496358871459961
0,0,"[0.9997446, 0.00025542814]",0.00025542813818901777
0,0,"[0.99975866, 0.00024129743]",0.000241297428146936
1,1,"[0.27651805, 0.723482]",0.7234820127487183
0,0,"[0.97310805, 0.0268919]",0.02689190022647381
1,1,"[0.07610581, 0.92389417]",0.9238941669464111
0,0,"[0.99920243, 0.0007975415]",0.0007975415210239589
0,0,"[0.76806545, 0.23193452]",0.23193451762199402
1,1,"[0.006925967, 0.99307406]",0.9930740594863892
0,0,"[0.999995, 4.9952127e-06]",4.995212748326594e-06
0,1,"[0.9955978, 0.004402217]",0.004402216989547014
1,1,"[0.035973698, 0.96402633]",0.9640263319015503
0,0,"[0.99987304, 0.00012691214]",0.00012691214215010405
0,0,"[0.999238, 0.0007619464]",0.0007619463722221553
0,0,"[0.9775875, 0.022412477]",0.022412477061152458
0,0,"[0.9979572, 0.0020427248]",0.0020427247509360313
0,0,"[0.9747732, 0.02522676]",0.025226760655641556
0,0,"[0.9185558, 0.08144417]",0.0814441666007042
0,1,"[0.8362249, 0.16377509]",0.16377508640289307
0,0,"[0.9336504, 0.06634965]",0.06634964793920517
0,0,"[0.9313508, 0.06864918]",0.06864918023347855
1,0,"[0.057386886, 0.94261307]",0.9426130652427673
0,0,"[0.99042517, 0.009574852]",0.00957485195249319
0,0,"[0.96036625, 0.039633814]",0.03963381424546242
0,0,"[0.9980233, 0.0019767163]",0.0019767163321375847
0,0,"[0.99821484, 0.0017852284]",0.0017852283781394362
1,1,"[0.24344684, 0.7565531]",0.7565531134605408
0,0,"[0.90732753, 0.09267246]",0.09267245978116989
0,0,"[0.99907684, 0.0009231133]",0.0009231133153662086
0,1,"[0.97520816, 0.024791807]",0.024791806936264038
0,0,"[0.99975675, 0.00024327067]",0.00024327066785190254
0,0,"[0.9944465, 0.0055534705]",0.005553470458835363
0,0,"[0.69335455, 0.30664545]",0.3066454529762268
1,0,"[0.023276683, 0.9767234]",0.9767233729362488
1,1,"[0.29016754, 0.70983243]",0.7098324298858643
1,1,"[0.011376957, 0.9886231]",0.9886230826377869
1,0,"[0.019366119, 0.98063385]",0.9806338548660278
0,1,"[0.64477193, 0.355228]",0.3552280068397522
0,0,"[0.9726288, 0.027371176]",0.027371175587177277
0,0,"[0.99302036, 0.006979588]",0.0069795879535377026
0,0,"[0.84680057, 0.15319946]",0.1531994640827179
