y_pred,y_true,y_score,y_probscore
0.0,0,"[0.9770108088850975, 0.022989191]",0.022989191
0.0,0,"[1.2768566012382507, -0.2768566]",-0.2768566
1.0,1,"[0.24611824750900269, 0.75388175]",0.75388175
0.0,0,"[1.0368423275649548, -0.036842328]",-0.036842328
0.0,1,"[1.0560563802719116, -0.05605638]",-0.05605638
0.0,0,"[0.946383036673069, 0.053616963]",0.053616963
0.0,0,"[0.8269475996494293, 0.1730524]",0.1730524
0.0,1,"[0.6842702329158783, 0.31572977]",0.31572977
0.0,1,"[0.8260003924369812, 0.17399961]",0.17399961
0.0,1,"[1.024296835064888, -0.024296835]",-0.024296835
0.0,0,"[1.0259089469909668, -0.025908947]",-0.025908947
0.0,0,"[1.0077479854226112, -0.0077479854]",-0.0077479854
0.0,0,"[0.5374735295772552, 0.46252647]",0.46252647
0.0,0,"[1.0737570896744728, -0.07375709]",-0.07375709
1.0,1,"[0.33460479974746704, 0.6653952]",0.6653952
0.0,0,"[1.0394842326641083, -0.039484233]",-0.039484233
0.0,0,"[0.8913629427552223, 0.10863706]",0.10863706
0.0,1,"[1.199633926153183, -0.19963393]",-0.19963393
0.0,0,"[0.9507150501012802, 0.04928495]",0.04928495
0.0,0,"[1.0574207156896591, -0.057420716]",-0.057420716
0.0,1,"[1.0981477424502373, -0.09814774]",-0.09814774
0.0,0,"[0.6873499155044556, 0.31265008]",0.31265008
0.0,0,"[1.2010449171066284, -0.20104492]",-0.20104492
0.0,0,"[1.0130336247384548, -0.013033625]",-0.013033625
0.0,0,"[0.6734381914138794, 0.3265618]",0.3265618
0.0,0,"[1.0246981531381607, -0.024698153]",-0.024698153
0.0,0,"[0.8030526340007782, 0.19694737]",0.19694737
0.0,0,"[0.8335215747356415, 0.16647843]",0.16647843
1.0,0,"[0.3489266037940979, 0.6510734]",0.6510734
0.0,0,"[1.004661999642849, -0.0046619996]",-0.0046619996
0.0,0,"[1.2347505688667297, -0.23475057]",-0.23475057
0.0,0,"[0.9531649574637413, 0.046835043]",0.046835043
0.0,0,"[0.7606720924377441, 0.23932791]",0.23932791
0.0,1,"[0.9395918771624565, 0.060408123]",0.060408123
0.0,0,"[0.8737510144710541, 0.12624899]",0.12624899
0.0,0,"[1.0490530282258987, -0.04905303]",-0.04905303
0.0,0,"[1.0465999618172646, -0.04659996]",-0.04659996
0.0,0,"[1.0634780377149582, -0.06347804]",-0.06347804
0.0,0,"[0.8548609614372253, 0.14513904]",0.14513904
0.0,0,"[1.019089587032795, -0.019089587]",-0.019089587
0.0,0,"[1.0334166772663593, -0.033416677]",-0.033416677
0.0,0,"[0.997819073498249, 0.0021809265]",0.0021809265
0.0,1,"[0.8232824504375458, 0.17671755]",0.17671755
0.0,0,"[1.303208351135254, -0.30320835]",-0.30320835
0.0,0,"[1.0121353194117546, -0.012135319]",-0.012135319
0.0,1,"[0.9945784136652946, 0.0054215863]",0.0054215863
0.0,0,"[0.9125815257430077, 0.087418474]",0.087418474
0.0,1,"[0.553030401468277, 0.4469696]",0.4469696
0.0,0,"[0.9779073968529701, 0.022092603]",0.022092603
0.0,0,"[0.8678410053253174, 0.132159]",0.132159
0.0,0,"[1.0454688742756844, -0.045468874]",-0.045468874
0.0,1,"[1.0639097094535828, -0.06390971]",-0.06390971
0.0,0,"[1.032122913748026, -0.032122914]",-0.032122914
0.0,1,"[0.9694183766841888, 0.030581623]",0.030581623
0.0,0,"[0.7826919555664062, 0.21730804]",0.21730804
0.0,1,"[1.0737570896744728, -0.07375709]",-0.07375709
0.0,0,"[0.9309503063559532, 0.06904969]",0.06904969
0.0,0,"[0.8170701861381531, 0.18292981]",0.18292981
0.0,0,"[0.9775594174861908, 0.022440583]",0.022440583
0.0,1,"[1.096624493598938, -0.09662449]",-0.09662449
0.0,0,"[0.8112922012805939, 0.1887078]",0.1887078
1.0,1,"[0.35552066564559937, 0.64447933]",0.64447933
0.0,1,"[0.6080769598484039, 0.39192304]",0.39192304
0.0,1,"[0.9150825664401054, 0.08491743]",0.08491743
0.0,0,"[0.6849234998226166, 0.3150765]",0.3150765
0.0,0,"[0.6633238792419434, 0.33667612]",0.33667612
0.0,0,"[1.0133332423865795, -0.013333242]",-0.013333242
0.0,1,"[1.0501152351498604, -0.050115235]",-0.050115235
0.0,0,"[0.5494092404842377, 0.45059076]",0.45059076
0.0,0,"[1.0307930037379265, -0.030793004]",-0.030793004
0.0,0,"[0.9505757242441177, 0.049424276]",0.049424276
0.0,0,"[0.5232631266117096, 0.47673687]",0.47673687
0.0,0,"[1.040537241846323, -0.04053724]",-0.04053724
0.0,0,"[0.907616414129734, 0.092383586]",0.092383586
0.0,0,"[1.0311621241271496, -0.031162124]",-0.031162124
0.0,1,"[0.5564279854297638, 0.443572]",0.443572
0.0,1,"[0.7844597399234772, 0.21554026]",0.21554026
1.0,0,"[0.27039551734924316, 0.7296045]",0.7296045
0.0,1,"[1.040476031601429, -0.04047603]",-0.04047603
0.0,0,"[0.663193553686142, 0.33680645]",0.33680645
1.0,1,"[0.23702818155288696, 0.7629718]",0.7629718
0.0,1,"[1.0235887207090855, -0.02358872]",-0.02358872
0.0,0,"[1.094664677977562, -0.09466468]",-0.09466468
0.0,1,"[0.8564024865627289, 0.14359751]",0.14359751
0.0,0,"[0.6628927290439606, 0.33710727]",0.33710727
0.0,1,"[0.8259539902210236, 0.17404601]",0.17404601
0.0,0,"[0.9254600629210472, 0.07453994]",0.07453994
0.0,0,"[1.0021370127797127, -0.0021370128]",-0.0021370128
0.0,0,"[0.918066956102848, 0.081933044]",0.081933044
0.0,0,"[0.6901222765445709, 0.30987772]",0.30987772
0.0,1,"[0.6698311865329742, 0.3301688]",0.3301688
0.0,0,"[0.9516930803656578, 0.04830692]",0.04830692
1.0,0,"[-0.1736454963684082, 1.1736455]",1.1736455
0.0,0,"[0.9741185009479523, 0.025881499]",0.025881499
0.0,0,"[0.6524179875850677, 0.347582]",0.347582
0.0,1,"[0.8606145977973938, 0.1393854]",0.1393854
0.0,0,"[0.7119750380516052, 0.28802496]",0.28802496
0.0,0,"[1.0220423936843872, -0.022042394]",-0.022042394
1.0,0,"[0.4684123992919922, 0.5315876]",0.5315876
0.0,0,"[0.7473045885562897, 0.2526954]",0.2526954
0.0,0,"[0.9011960998177528, 0.0988039]",0.0988039
0.0,1,"[0.8598372638225555, 0.14016274]",0.14016274
0.0,0,"[1.0046984925866127, -0.0046984926]",-0.0046984926
0.0,0,"[0.8591107428073883, 0.14088926]",0.14088926
0.0,1,"[1.0737570896744728, -0.07375709]",-0.07375709
