y_pred,y_true,y_score,y_probscore
0,0,"[-4, 5]",5
1,0,"[-16, 17]",17
1,1,"[-22, 23]",23
0,0,"[-5, 6]",6
1,0,"[-11, 12]",12
1,0,"[-17, 18]",18
0,0,"[-6, 7]",7
1,0,"[-27, 28]",28
0,0,"[-8, 9]",9
1,0,"[-10, 11]",11
0,0,"[-9, 10]",10
0,0,"[1, 0]",0
0,0,"[-2, 3]",3
1,0,"[-11, 12]",12
1,0,"[-19, 20]",20
1,1,"[-22, 23]",23
1,0,"[-10, 11]",11
1,0,"[-13, 14]",14
0,1,"[-6, 7]",7
0,0,"[-5, 6]",6
1,1,"[-28, 29]",29
0,0,"[-7, 8]",8
0,0,"[-3, 4]",4
0,1,"[-6, 7]",7
1,0,"[-15, 16]",16
1,1,"[-24, 25]",25
1,1,"[-19, 20]",20
1,0,"[-11, 12]",12
0,0,"[1, 0]",0
1,0,"[-15, 16]",16
0,0,"[-6, 7]",7
0,0,"[-6, 7]",7
1,0,"[-20, 21]",21
1,1,"[-17, 18]",18
1,0,"[-17, 18]",18
0,0,"[-6, 7]",7
1,0,"[-10, 11]",11
0,0,"[-4, 5]",5
0,0,"[-9, 10]",10
0,0,"[-6, 7]",7
1,0,"[-23, 24]",24
0,1,"[-2, 3]",3
0,0,"[-3, 4]",4
0,0,"[-4, 5]",5
1,1,"[-24, 25]",25
0,0,"[1, 0]",0
0,0,"[-7, 8]",8
1,0,"[-21, 22]",22
1,0,"[-11, 12]",12
1,1,"[-10, 11]",11
1,1,"[-11, 12]",12
1,0,"[-15, 16]",16
1,1,"[-21, 22]",22
0,0,"[-2, 3]",3
1,0,"[-10, 11]",11
1,0,"[-12, 13]",13
1,0,"[-20, 21]",21
1,0,"[-18, 19]",19
0,0,"[-7, 8]",8
0,0,"[-7, 8]",8
1,0,"[-17, 18]",18
1,0,"[-12, 13]",13
0,0,"[-6, 7]",7
1,0,"[-14, 15]",15
1,1,"[-23, 24]",24
1,0,"[-11, 12]",12
1,1,"[-22, 23]",23
0,0,"[1, 0]",0
0,0,"[1, 0]",0
0,0,"[-6, 7]",7
0,0,"[1, 0]",0
1,0,"[-11, 12]",12
1,1,"[-13, 14]",14
1,0,"[-17, 18]",18
1,0,"[-31, 32]",32
0,0,"[1, 0]",0
0,0,"[-7, 8]",8
0,0,"[-9, 10]",10
0,1,"[-6, 7]",7
1,0,"[-19, 20]",20
0,0,"[-6, 7]",7
1,0,"[-11, 12]",12
0,0,"[-4, 5]",5
1,0,"[-14, 15]",15
0,1,"[-6, 7]",7
1,0,"[-10, 11]",11
1,1,"[-14, 15]",15
0,1,"[-4, 5]",5
1,0,"[-11, 12]",12
1,1,"[-16, 17]",17
1,0,"[-14, 15]",15
0,0,"[2, -1]",-1
0,0,"[-7, 8]",8
1,0,"[-35, 36]",36
0,0,"[-5, 6]",6
0,0,"[-4, 5]",5
1,0,"[-18, 19]",19
1,0,"[-16, 17]",17
0,0,"[-3, 4]",4
0,1,"[-8, 9]",9
0,0,"[1, 0]",0
1,0,"[-16, 17]",17
0,0,"[1, 0]",0
1,0,"[-13, 14]",14
0,0,"[-3, 4]",4
1,0,"[-13, 14]",14
1,0,"[-16, 17]",17
0,0,"[-4, 5]",5
1,0,"[-23, 24]",24
0,0,"[-9, 10]",10
1,0,"[-16, 17]",17
0,0,"[-9, 10]",10
0,0,"[-2, 3]",3
0,0,"[1, 0]",0
1,0,"[-24, 25]",25
1,1,"[-31, 32]",32
1,1,"[-16, 17]",17
1,0,"[-15, 16]",16
1,0,"[-13, 14]",14
1,1,"[-31, 32]",32
1,0,"[-11, 12]",12
0,0,"[-8, 9]",9
1,0,"[-12, 13]",13
1,0,"[-11, 12]",12
0,1,"[-3, 4]",4
0,1,"[-9, 10]",10
0,1,"[-3, 4]",4
1,0,"[-12, 13]",13
1,0,"[-14, 15]",15
1,0,"[-14, 15]",15
1,1,"[-18, 19]",19
0,0,"[-4, 5]",5
0,0,"[-8, 9]",9
0,0,"[-6, 7]",7
0,0,"[-9, 10]",10
0,0,"[-7, 8]",8
0,0,"[-5, 6]",6
1,1,"[-31, 32]",32
1,1,"[-10, 11]",11
1,0,"[-11, 12]",12
0,0,"[-4, 5]",5
0,0,"[-7, 8]",8
1,0,"[-10, 11]",11
1,1,"[-18, 19]",19
1,0,"[-27, 28]",28
1,1,"[-24, 25]",25
1,1,"[-14, 15]",15
0,0,"[4, -3]",-3
0,0,"[-7, 8]",8
1,1,"[-19, 20]",20
0,0,"[-1, 2]",2
1,0,"[-13, 14]",14
1,1,"[-22, 23]",23
1,0,"[-14, 15]",15
1,0,"[-11, 12]",12
1,0,"[-17, 18]",18
0,0,"[-6, 7]",7
1,0,"[-17, 18]",18
0,0,"[-6, 7]",7
1,0,"[-20, 21]",21
1,0,"[-10, 11]",11
1,1,"[-25, 26]",26
1,0,"[-21, 22]",22
0,0,"[1, 0]",0
1,0,"[-18, 19]",19
0,0,"[-6, 7]",7
1,0,"[-19, 20]",20
1,0,"[-13, 14]",14
0,0,"[1, 0]",0
0,0,"[-1, 2]",2
1,0,"[-13, 14]",14
1,1,"[-10, 11]",11
1,0,"[-16, 17]",17
1,0,"[-28, 29]",29
0,0,"[-6, 7]",7
0,0,"[1, 0]",0
1,0,"[-13, 14]",14
1,0,"[-15, 16]",16
1,0,"[-17, 18]",18
1,0,"[-11, 12]",12
0,1,"[-4, 5]",5
1,0,"[-19, 20]",20
0,0,"[-4, 5]",5
1,0,"[-10, 11]",11
1,0,"[-10, 11]",11
0,0,"[-3, 4]",4
0,1,"[-8, 9]",9
0,0,"[-1, 2]",2
1,0,"[-10, 11]",11
1,0,"[-11, 12]",12
0,0,"[-8, 9]",9
0,1,"[-9, 10]",10
1,0,"[-19, 20]",20
1,0,"[-16, 17]",17
1,0,"[-17, 18]",18
0,0,"[-9, 10]",10
0,1,"[-3, 4]",4
0,0,"[-9, 10]",10
1,0,"[-24, 25]",25
1,1,"[-21, 22]",22
1,0,"[-19, 20]",20
0,0,"[2, -1]",-1
0,0,"[5, -4]",-4
1,1,"[-19, 20]",20
0,0,"[-6, 7]",7
1,0,"[-15, 16]",16
1,0,"[-14, 15]",15
0,0,"[1, 0]",0
1,0,"[-11, 12]",12
0,1,"[-4, 5]",5
1,0,"[-15, 16]",16
1,1,"[-25, 26]",26
0,1,"[-7, 8]",8
0,0,"[-8, 9]",9
1,0,"[-11, 12]",12
1,0,"[-11, 12]",12
1,0,"[-23, 24]",24
1,0,"[-13, 14]",14
1,0,"[-22, 23]",23
0,1,"[-6, 7]",7
1,0,"[-10, 11]",11
1,1,"[-15, 16]",16
1,1,"[-21, 22]",22
0,1,"[-6, 7]",7
0,0,"[-7, 8]",8
1,0,"[-19, 20]",20
1,1,"[-18, 19]",19
0,0,"[2, -1]",-1
1,0,"[-11, 12]",12
0,0,"[1, 0]",0
