y_pred,y_true,y_score,y_probscore
0,0,"[0.79340464, 0.20659536]",0.20659536123275757
0,0,"[0.7386359, 0.26136416]",0.2613641619682312
1,1,"[0.22438732, 0.7756127]",0.7756127119064331
0,0,"[0.7132606, 0.28673935]",0.2867393493652344
0,0,"[0.85735154, 0.14264846]",0.14264845848083496
0,0,"[0.6853534, 0.3146466]",0.3146466016769409
1,0,"[0.4237528, 0.5762472]",0.5762472152709961
0,0,"[0.6741497, 0.32585028]",0.3258502781391144
0,0,"[0.8449861, 0.15501386]",0.15501385927200317
1,0,"[0.021790963, 0.978209]",0.9782090187072754
1,0,"[0.37009305, 0.62990695]",0.629906952381134
0,0,"[0.8287703, 0.17122974]",0.17122973501682281
0,0,"[0.82629335, 0.17370658]",0.17370657622814178
1,0,"[0.1490383, 0.8509616]",0.8509616255760193
0,0,"[0.65257704, 0.3474229]",0.34742289781570435
1,1,"[0.18015699, 0.819843]",0.8198429942131042
0,0,"[0.84494996, 0.15505008]",0.15505008399486542
0,0,"[0.6129781, 0.38702187]",0.38702186942100525
1,1,"[0.0644054, 0.9355946]",0.9355946183204651
0,0,"[0.81632423, 0.18367575]",0.18367575109004974
1,1,"[0.0020965103, 0.99790347]",0.9979034662246704
0,0,"[0.8540911, 0.14590889]",0.1459088921546936
0,0,"[0.54842085, 0.45157918]",0.45157918334007263
1,1,"[0.030785486, 0.96921456]",0.9692145586013794
0,0,"[0.64448965, 0.35551035]",0.3555103540420532
1,1,"[0.4357118, 0.5642882]",0.5642881989479065
1,1,"[0.00015186003, 0.9998481]",0.9998481273651123
0,0,"[0.8600715, 0.13992852]",0.13992851972579956
0,0,"[0.67641115, 0.3235889]",0.32358890771865845
0,0,"[0.5564139, 0.44358608]",0.4435860812664032
0,0,"[0.82412326, 0.17587672]",0.17587672173976898
1,0,"[0.38185862, 0.61814135]",0.6181413531303406
0,0,"[0.5663482, 0.43365183]",0.4336518347263336
0,1,"[0.72369415, 0.2763059]",0.2763059139251709
0,0,"[0.6948424, 0.30515757]",0.3051575720310211
0,0,"[0.8126418, 0.18735819]",0.18735818564891815
1,0,"[0.020668263, 0.97933173]",0.9793317317962646
0,0,"[0.75944984, 0.24055015]",0.24055014550685883
0,0,"[0.7897933, 0.21020669]",0.21020668745040894
0,0,"[0.7716255, 0.22837453]",0.22837452590465546
0,0,"[0.6502887, 0.34971127]",0.34971126914024353
1,1,"[0.11158173, 0.88841826]",0.8884182572364807
1,0,"[0.1963971, 0.8036029]",0.8036028742790222
0,0,"[0.82950294, 0.17049703]",0.17049703001976013
1,1,"[0.47855026, 0.52144974]",0.5214497447013855
0,0,"[0.6481719, 0.3518281]",0.35182809829711914
0,0,"[0.50461525, 0.4953847]",0.49538469314575195
0,0,"[0.6349079, 0.365092]",0.365092009305954
1,0,"[0.004498207, 0.9955018]",0.9955018162727356
1,1,"[0.09637669, 0.9036233]",0.9036232829093933
1,1,"[0.0067070387, 0.9932929]",0.9932929277420044
1,0,"[0.022699159, 0.9773008]",0.9773008227348328
1,1,"[0.19500494, 0.80499506]",0.804995059967041
