y_pred,y_true,y_score,y_probscore
0,0,"[0.83633393, 0.16366611]",0.16366611421108246
0,0,"[0.7560234, 0.24397661]",0.24397660791873932
1,1,"[0.35632855, 0.64367145]",0.643671452999115
0,0,"[0.7466114, 0.25338852]",0.25338852405548096
0,0,"[0.8846169, 0.11538311]",0.11538311094045639
0,0,"[0.70087653, 0.29912353]",0.29912352561950684
0,0,"[0.78771937, 0.21228066]",0.21228066086769104
0,0,"[0.7562518, 0.24374822]",0.24374821782112122
0,0,"[0.8560647, 0.14393532]",0.14393532276153564
1,0,"[0.02208527, 0.9779147]",0.9779146909713745
0,0,"[0.64303815, 0.35696176]",0.35696175694465637
0,0,"[0.8649987, 0.13500127]",0.1350012719631195
0,0,"[0.85958964, 0.14041035]",0.14041034877300262
1,0,"[0.14030895, 0.85969114]",0.8596911430358887
0,0,"[0.60809916, 0.39190087]",0.3919008672237396
1,1,"[0.19613655, 0.80386347]",0.8038634657859802
0,0,"[0.8662024, 0.13379763]",0.13379763066768646
0,0,"[0.7132265, 0.28677347]",0.2867734730243683
1,1,"[0.18448855, 0.8155114]",0.8155114054679871
0,0,"[0.8477758, 0.15222418]",0.15222418308258057
1,1,"[0.00032937148, 0.9996706]",0.9996706247329712
0,0,"[0.8685703, 0.13142964]",0.13142964243888855
0,0,"[0.8081336, 0.19186634]",0.19186633825302124
1,1,"[0.042109217, 0.9578908]",0.9578908085823059
0,0,"[0.7465632, 0.25343677]",0.25343677401542664
1,1,"[0.2732539, 0.72674614]",0.726746141910553
1,1,"[3.4199602e-05, 0.9999658]",0.9999657869338989
0,0,"[0.866874, 0.13312596]",0.13312596082687378
0,0,"[0.8088514, 0.19114853]",0.1911485344171524
0,0,"[0.76178706, 0.23821294]",0.2382129430770874
0,0,"[0.8139684, 0.18603158]",0.18603157997131348
1,0,"[0.238365, 0.76163495]",0.7616349458694458
0,0,"[0.7162567, 0.28374326]",0.2837432622909546
0,1,"[0.7413756, 0.25862437]",0.2586243748664856
0,0,"[0.6912219, 0.3087781]",0.3087781071662903
0,0,"[0.834042, 0.165958]",0.1659580022096634
1,0,"[0.015634032, 0.98436594]",0.9843659400939941
0,0,"[0.78763914, 0.21236084]",0.21236084401607513
0,0,"[0.82311565, 0.17688432]",0.17688432335853577
0,0,"[0.7765392, 0.22346078]",0.22346077859401703
0,0,"[0.77587616, 0.22412379]",0.2241237908601761
1,1,"[0.09499653, 0.9050034]",0.9050034284591675
1,0,"[0.14294784, 0.85705215]",0.8570521473884583
0,0,"[0.82375, 0.17625]",0.17624999582767487
0,1,"[0.75454926, 0.24545068]",0.2454506754875183
0,0,"[0.7554587, 0.24454132]",0.24454131722450256
0,0,"[0.7574933, 0.2425067]",0.2425066977739334
0,0,"[0.79696417, 0.20303588]",0.2030358761548996
1,0,"[0.002703686, 0.9972963]",0.9972962737083435
1,1,"[0.18893477, 0.8110652]",0.8110651969909668
1,1,"[0.0033557808, 0.99664426]",0.9966442584991455
1,0,"[0.015763847, 0.9842361]",0.9842361211776733
1,1,"[0.24919514, 0.7508049]",0.7508049011230469
0,0,"[0.7742291, 0.22577095]",0.2257709503173828
0,0,"[0.7768408, 0.22315924]",0.22315923869609833
0,0,"[0.7139185, 0.28608146]",0.286081463098526
0,0,"[0.5711944, 0.42880556]",0.42880555987358093
0,0,"[0.7885911, 0.21140888]",0.21140888333320618
0,0,"[0.7764374, 0.22356264]",0.22356264293193817
1,0,"[0.12368423, 0.8763158]",0.8763157725334167
0,0,"[0.76914996, 0.23085001]",0.2308500111103058
1,0,"[0.40393618, 0.5960638]",0.5960637927055359
0,0,"[0.75309074, 0.24690923]",0.2469092309474945
0,0,"[0.83331275, 0.1666872]",0.16668720543384552
1,1,"[0.008793819, 0.9912062]",0.9912062287330627
0,0,"[0.8194365, 0.18056355]",0.1805635541677475
0,1,"[0.8478633, 0.15213668]",0.1521366834640503
0,0,"[0.77982825, 0.22017168]",0.22017167508602142
0,0,"[0.689004, 0.31099597]",0.3109959661960602
0,0,"[0.8015598, 0.19844018]",0.19844017922878265
0,0,"[0.8662745, 0.13372555]",0.13372555375099182
0,0,"[0.79509467, 0.2049053]",0.20490530133247375
0,1,"[0.8158975, 0.18410252]",0.18410252034664154
0,0,"[0.71093535, 0.2890646]",0.28906458616256714
1,0,"[0.041516982, 0.95848304]",0.9584830403327942
0,0,"[0.81048214, 0.18951784]",0.18951784074306488
0,0,"[0.93843967, 0.06156034]",0.061560340225696564
0,0,"[0.8871072, 0.11289284]",0.11289283633232117
1,1,"[0.011771728, 0.98822826]",0.9882282614707947
0,0,"[0.6639204, 0.33607957]",0.33607956767082214
0,0,"[0.77842975, 0.2215703]",0.22157029807567596
0,0,"[0.7665423, 0.2334577]",0.23345769941806793
0,0,"[0.7074759, 0.2925241]",0.2925240993499756
0,0,"[0.7776096, 0.22239037]",0.22239036858081818
1,1,"[0.0016313018, 0.9983687]",0.9983686804771423
0,0,"[0.5534918, 0.44650826]",0.4465082585811615
1,1,"[0.044419274, 0.95558065]",0.9555806517601013
1,1,"[0.0030528507, 0.9969471]",0.9969471096992493
0,0,"[0.790528, 0.20947199]",0.20947198569774628
1,1,"[0.044751406, 0.9552486]",0.9552485942840576
0,0,"[0.87235874, 0.1276412]",0.1276412010192871
0,0,"[0.9234861, 0.076513864]",0.0765138640999794
0,0,"[0.82832384, 0.17167614]",0.1716761440038681
0,0,"[0.8479856, 0.15201434]",0.1520143449306488
0,0,"[0.809268, 0.19073208]",0.19073207676410675
0,0,"[0.7986423, 0.20135768]",0.2013576775789261
0,0,"[0.8066775, 0.19332248]",0.19332247972488403
0,0,"[0.799901, 0.20009907]",0.20009906589984894
0,0,"[0.8632383, 0.13676171]",0.13676171004772186
1,1,"[0.00056380406, 0.9994362]",0.9994361996650696
0,0,"[0.69164443, 0.30835557]",0.30835556983947754
1,0,"[0.018746436, 0.98125356]",0.9812535643577576
0,0,"[0.79323894, 0.20676102]",0.20676101744174957
1,0,"[0.21560751, 0.78439254]",0.7843925356864929
0,0,"[0.82195026, 0.1780498]",0.17804980278015137
1,0,"[0.4648163, 0.53518367]",0.5351836681365967
1,0,"[0.14910167, 0.85089827]",0.850898265838623
0,0,"[0.85983604, 0.14016396]",0.14016395807266235
0,0,"[0.9345728, 0.06542713]",0.06542713195085526
0,0,"[0.8369969, 0.16300307]",0.163003072142601
0,0,"[0.76920533, 0.23079467]",0.23079466819763184
0,0,"[0.69059795, 0.30940205]",0.3094020485877991
0,0,"[0.89792514, 0.1020748]",0.10207480192184448
0,0,"[0.90467286, 0.095327176]",0.09532717615365982
0,0,"[0.86590606, 0.13409394]",0.13409394025802612
1,1,"[0.00012993788, 0.99987006]",0.9998700618743896
1,1,"[0.49208787, 0.50791216]",0.5079121589660645
0,0,"[0.72361577, 0.2763842]",0.2763842046260834
0,0,"[0.9653167, 0.034683313]",0.034683313220739365
0,1,"[0.6806776, 0.31932244]",0.3193224370479584
0,0,"[0.73575956, 0.2642404]",0.26424041390419006
0,0,"[0.8063798, 0.19362018]",0.19362017512321472
0,0,"[0.7726956, 0.22730441]",0.22730441391468048
0,0,"[0.83242583, 0.16757417]",0.16757416725158691
1,1,"[0.11649066, 0.8835093]",0.8835092782974243
1,1,"[0.024964629, 0.9750354]",0.9750354290008545
1,1,"[0.007761671, 0.99223834]",0.9922383427619934
0,0,"[0.7749323, 0.22506776]",0.22506776452064514
1,0,"[0.017049775, 0.9829502]",0.9829502105712891
0,0,"[0.84837633, 0.15162367]",0.1516236662864685
1,1,"[0.49088517, 0.5091148]",0.5091148018836975
0,0,"[0.8343834, 0.16561656]",0.16561655700206757
0,0,"[0.80521435, 0.19478568]",0.1947856843471527
0,0,"[0.7851842, 0.21481581]",0.21481581032276154
0,0,"[0.74663454, 0.2533655]",0.25336548686027527
1,0,"[0.07992266, 0.9200773]",0.9200773239135742
0,0,"[0.89772856, 0.10227148]",0.10227148234844208
1,1,"[0.032843065, 0.967157]",0.9671570062637329
1,1,"[0.016153835, 0.9838462]",0.9838461875915527
0,0,"[0.9105205, 0.08947955]",0.08947955071926117
1,0,"[0.31239527, 0.6876047]",0.6876047253608704
0,0,"[0.89574987, 0.10425017]",0.10425017029047012
1,0,"[0.39070582, 0.6092942]",0.6092941761016846
1,1,"[0.0034691538, 0.99653083]",0.9965308308601379
1,0,"[0.16477345, 0.83522654]",0.8352265357971191
1,1,"[0.4830064, 0.5169937]",0.5169937014579773
0,1,"[0.72397566, 0.2760244]",0.27602440118789673
0,0,"[0.77882487, 0.22117518]",0.2211751788854599
0,0,"[0.75364554, 0.24635442]",0.24635441601276398
0,1,"[0.9079879, 0.0920121]",0.09201209992170334
0,0,"[0.8634794, 0.13652064]",0.1365206390619278
1,0,"[0.023012541, 0.9769875]",0.9769874811172485
1,1,"[0.0720679, 0.9279321]",0.92793208360672
0,0,"[0.73969775, 0.26030225]",0.26030224561691284
0,0,"[0.84868526, 0.15131474]",0.15131473541259766
0,0,"[0.8279507, 0.17204927]",0.17204926908016205
0,0,"[0.82764095, 0.17235897]",0.17235897481441498
0,0,"[0.89254886, 0.107451096]",0.10745109617710114
1,0,"[0.4352327, 0.56476724]",0.5647672414779663
1,0,"[0.07017831, 0.9298217]",0.9298217296600342
1,0,"[0.44682777, 0.55317223]",0.55317223072052
1,1,"[0.0050026, 0.9949974]",0.9949973821640015
0,0,"[0.7358881, 0.26411188]",0.26411187648773193
0,0,"[0.78722537, 0.21277465]",0.21277464926242828
1,0,"[0.20677836, 0.79322165]",0.793221652507782
0,0,"[0.77478397, 0.22521605]",0.22521604597568512
1,0,"[0.14080518, 0.8591949]",0.8591948747634888
0,0,"[0.6831655, 0.31683454]",0.31683453917503357
0,0,"[0.8943796, 0.10562036]",0.1056203618645668
0,0,"[0.7834798, 0.21652015]",0.21652014553546906
1,0,"[0.19364972, 0.8063503]",0.8063502907752991
1,1,"[0.07010956, 0.92989045]",0.9298904538154602
0,0,"[0.70038825, 0.2996118]",0.29961180686950684
0,0,"[0.6008021, 0.3991979]",0.39919790625572205
0,0,"[0.6604003, 0.33959964]",0.3395996391773224
0,0,"[0.87168676, 0.12831324]",0.12831324338912964
1,0,"[0.007675915, 0.9923241]",0.9923241138458252
0,0,"[0.7606271, 0.23937294]",0.23937293887138367
0,0,"[0.86344504, 0.13655497]",0.13655497133731842
0,0,"[0.75761974, 0.24238028]",0.2423802763223648
0,1,"[0.82126504, 0.17873494]",0.1787349432706833
0,0,"[0.81203425, 0.18796569]",0.18796569108963013
0,0,"[0.83131015, 0.16868979]",0.1686897873878479
0,0,"[0.7704147, 0.22958533]",0.22958533465862274
0,0,"[0.8242993, 0.17570071]",0.17570070922374725
0,0,"[0.6530511, 0.34694892]",0.34694892168045044
1,1,"[0.026572427, 0.97342753]",0.9734275341033936
0,0,"[0.76750326, 0.23249678]",0.23249678313732147
1,0,"[0.014824425, 0.98517555]",0.9851755499839783
0,0,"[0.90946263, 0.09053736]",0.09053736180067062
0,0,"[0.5677483, 0.43225166]",0.4322516620159149
0,1,"[0.75710356, 0.2428965]",0.24289649724960327
1,0,"[0.38865328, 0.6113467]",0.6113467216491699
0,0,"[0.8179593, 0.18204072]",0.1820407211780548
0,0,"[0.7950998, 0.20490018]",0.20490017533302307
0,0,"[0.86929965, 0.13070036]",0.13070036470890045
0,1,"[0.79344434, 0.2065556]",0.20655560493469238
1,0,"[0.01208135, 0.9879187]",0.9879186749458313
0,0,"[0.8101815, 0.18981853]",0.18981853127479553
1,1,"[0.017661, 0.98233896]",0.9823389649391174
0,0,"[0.8187862, 0.18121378]",0.18121378123760223
0,0,"[0.81298274, 0.18701723]",0.18701723217964172
0,0,"[0.9167117, 0.08328828]",0.0832882821559906
1,1,"[0.055586588, 0.9444134]",0.944413423538208
0,0,"[0.8870934, 0.11290664]",0.11290664225816727
1,0,"[0.16914505, 0.83085495]",0.8308549523353577
1,0,"[0.109108955, 0.8908911]",0.8908910751342773
0,0,"[0.8001428, 0.19985712]",0.19985711574554443
1,0,"[0.009158654, 0.99084127]",0.990841269493103
1,1,"[0.044773385, 0.9552266]",0.9552266001701355
0,0,"[0.8371204, 0.16287953]",0.16287952661514282
1,1,"[0.029973943, 0.9700261]",0.9700260758399963
1,1,"[0.14756498, 0.85243505]",0.8524350523948669
0,0,"[0.9003606, 0.0996394]",0.0996394008398056
1,0,"[0.036624476, 0.96337557]",0.9633755683898926
0,0,"[0.79278165, 0.20721836]",0.20721836388111115
0,0,"[0.884623, 0.115377]",0.11537700146436691
0,0,"[0.7875668, 0.21243319]",0.21243318915367126
0,0,"[0.5350744, 0.46492562]",0.464925616979599
0,1,"[0.76826125, 0.23173875]",0.23173874616622925
0,0,"[0.6760111, 0.32398888]",0.3239888846874237
0,1,"[0.8040212, 0.19597879]",0.1959787905216217
1,1,"[0.07605128, 0.9239487]",0.9239487051963806
1,1,"[0.03940109, 0.96059895]",0.9605989456176758
0,0,"[0.7641836, 0.2358165]",0.23581649363040924
1,0,"[0.012934371, 0.9870657]",0.9870656728744507
1,1,"[0.47477403, 0.525226]",0.5252259969711304
0,0,"[0.7013466, 0.29865342]",0.29865342378616333
0,0,"[0.7584909, 0.2415091]",0.2415090948343277
0,0,"[0.817028, 0.18297194]",0.18297193944454193
1,0,"[0.15523979, 0.8447602]",0.8447601795196533
0,1,"[0.5399519, 0.46004808]",0.4600480794906616
0,0,"[0.838374, 0.16162595]",0.1616259515285492
0,0,"[0.7037994, 0.29620054]",0.29620054364204407
1,0,"[0.03887776, 0.9611223]",0.9611222743988037
1,0,"[0.12684135, 0.87315863]",0.8731586337089539
0,1,"[0.77224475, 0.2277553]",0.22775529325008392
1,0,"[0.11240015, 0.88759977]",0.887599766254425
1,0,"[0.46652424, 0.5334758]",0.5334758162498474
0,0,"[0.8144653, 0.18553469]",0.18553468585014343
0,0,"[0.70471877, 0.29528123]",0.29528123140335083
