y_pred,y_true,y_score,y_probscore
0,0,"[0.8437962433866013, 0.1562037566133987]",0.1562037566133987
1,0,"[0.3678178280512623, 0.6321821719487377]",0.6321821719487377
1,1,"[0.249996896852542, 0.750003103147458]",0.750003103147458
0,0,"[0.7669785164510039, 0.23302148354899607]",0.23302148354899607
0,0,"[0.701315753585285, 0.2986842464147151]",0.2986842464147151
0,0,"[0.563373569467022, 0.436626430532978]",0.436626430532978
0,0,"[0.589449526113226, 0.41055047388677396]",0.41055047388677396
1,0,"[0.3314994389625875, 0.6685005610374125]",0.6685005610374125
0,0,"[0.7539299667780426, 0.24607003322195747]",0.24607003322195747
0,0,"[0.5214209725788774, 0.4785790274211226]",0.4785790274211226
0,0,"[0.5320529833671762, 0.4679470166328238]",0.4679470166328238
0,0,"[0.5775765595171234, 0.42242344048287656]",0.42242344048287656
0,0,"[0.6256817867410172, 0.3743182132589829]",0.3743182132589829
0,0,"[0.547855810301519, 0.45214418969848097]",0.45214418969848097
1,0,"[0.4781583200972118, 0.5218416799027882]",0.5218416799027882
1,1,"[0.274782444917141, 0.725217555082859]",0.725217555082859
0,0,"[0.6745112987557358, 0.3254887012442642]",0.3254887012442642
1,0,"[0.44599464574319214, 0.5540053542568079]",0.5540053542568079
0,1,"[0.6585909553380536, 0.3414090446619465]",0.3414090446619465
0,0,"[0.6375878090572789, 0.3624121909427212]",0.3624121909427212
1,1,"[0.22492214276949019, 0.7750778572305098]",0.7750778572305098
0,0,"[0.5826546059461146, 0.41734539405388543]",0.41734539405388543
0,0,"[0.6664686671151483, 0.3335313328848517]",0.3335313328848517
0,1,"[0.6178895419589872, 0.3821104580410129]",0.3821104580410129
1,0,"[0.34384377765544194, 0.6561562223445581]",0.6561562223445581
1,1,"[0.2580009436868813, 0.7419990563131187]",0.7419990563131187
1,1,"[0.2878284776605723, 0.7121715223394277]",0.7121715223394277
0,0,"[0.6073198405096046, 0.39268015949039536]",0.39268015949039536
0,0,"[0.7464468873035053, 0.2535531126964947]",0.2535531126964947
0,0,"[0.5854766801827922, 0.4145233198172078]",0.4145233198172078
0,0,"[0.7150294951259538, 0.2849705048740462]",0.2849705048740462
0,0,"[0.8347919794939893, 0.16520802050601074]",0.16520802050601074
1,0,"[0.3791046650137265, 0.6208953349862735]",0.6208953349862735
1,1,"[0.30897553779792786, 0.6910244622020721]",0.6910244622020721
1,0,"[0.3776468603578452, 0.6223531396421548]",0.6223531396421548
1,0,"[0.4872049413301659, 0.5127950586698341]",0.5127950586698341
1,0,"[0.444087295405744, 0.555912704594256]",0.555912704594256
0,0,"[0.592354464494552, 0.4076455355054481]",0.4076455355054481
0,0,"[0.500144731900865, 0.4998552680991351]",0.4998552680991351
0,0,"[0.6183637545831847, 0.3816362454168153]",0.3816362454168153
1,0,"[0.22321283024928507, 0.7767871697507149]",0.7767871697507149
0,1,"[0.6293896282690246, 0.3706103717309755]",0.3706103717309755
0,0,"[0.7508822235284888, 0.24911777647151126]",0.24911777647151126
0,0,"[0.6336522154537955, 0.36634778454620454]",0.36634778454620454
1,1,"[0.27803677853880704, 0.721963221461193]",0.721963221461193
0,0,"[0.5786408834011918, 0.42135911659880826]",0.42135911659880826
0,0,"[0.5842918741907855, 0.41570812580921446]",0.41570812580921446
1,0,"[0.2688012879359438, 0.7311987120640562]",0.7311987120640562
1,0,"[0.41616671660856175, 0.5838332833914383]",0.5838332833914383
1,1,"[0.21433723243631864, 0.7856627675636814]",0.7856627675636814
1,1,"[0.36376479931960004, 0.6362352006804]",0.6362352006804
1,0,"[0.46178629900779944, 0.5382137009922006]",0.5382137009922006
1,1,"[0.2893817544099019, 0.7106182455900981]",0.7106182455900981
