y_pred,y_true,y_score,y_probscore
0,0,"[0.83347708288095, 0.16652291711905]",0.16652291711905
0,0,"[0.83347708288095, 0.16652291711905]",0.16652291711905
1,1,"[0.6736360546677966, 0.3263639453322034]",0.3263639453322034
0,0,"[0.9532605060260201, 0.04673949397397988]",0.04673949397397988
0,0,"[0.9627953340448261, 0.0372046659551739]",0.0372046659551739
0,0,"[0.9353511644297016, 0.06464883557029844]",0.06464883557029844
1,0,"[0.06910369029239483, 0.9308963097076052]",0.9308963097076052
1,0,"[0.733913479151548, 0.266086520848452]",0.266086520848452
0,0,"[0.7525571496201762, 0.2474428503798239]",0.2474428503798239
1,0,"[0.6080744607671694, 0.3919255392328306]",0.3919255392328306
1,0,"[0.022106878396005558, 0.9778931216039944]",0.9778931216039944
1,0,"[0.5624526098962759, 0.4375473901037242]",0.4375473901037242
0,0,"[0.8936017767822351, 0.10639822321776493]",0.10639822321776493
0,0,"[0.8719523491974752, 0.12804765080252475]",0.12804765080252475
0,0,"[0.83347708288095, 0.16652291711905]",0.16652291711905
0,1,"[0.8471295039008668, 0.15287049609913317]",0.15287049609913317
0,0,"[0.8599489370994273, 0.1400510629005727]",0.1400510629005727
0,0,"[0.8831614264892881, 0.11683857351071196]",0.11683857351071196
1,1,"[0.585396312428305, 0.4146036875716949]",0.4146036875716949
0,0,"[0.9033021635326961, 0.09669783646730394]",0.09669783646730394
0,1,"[0.83347708288095, 0.16652291711905]",0.16652291711905
0,0,"[0.9418466463066032, 0.058153353693396775]",0.058153353693396775
1,0,"[0.3191127301226332, 0.6808872698773668]",0.6808872698773668
1,1,"[0.4024116861115917, 0.5975883138884083]",0.5975883138884083
1,0,"[0.6944028457032982, 0.30559715429670176]",0.30559715429670176
1,1,"[0.6736360546677966, 0.3263639453322034]",0.3263639453322034
1,1,"[0.6736360546677966, 0.3263639453322034]",0.3263639453322034
0,0,"[0.9627953340448261, 0.0372046659551739]",0.0372046659551739
0,0,"[0.7704083311695413, 0.22959166883045867]",0.22959166883045867
1,0,"[0.4929809443822317, 0.5070190556177683]",0.5070190556177683
0,0,"[0.9353511644297016, 0.06464883557029844]",0.06464883557029844
0,0,"[0.9418466463066032, 0.058153353693396775]",0.058153353693396775
1,0,"[0.733913479151548, 0.266086520848452]",0.266086520848452
0,1,"[0.7525571496201762, 0.2474428503798239]",0.2474428503798239
0,0,"[0.9033021635326961, 0.09669783646730394]",0.09669783646730394
0,0,"[0.9122937866404577, 0.08770621335954232]",0.08770621335954232
1,0,"[0.6080744607671694, 0.3919255392328306]",0.3919255392328306
0,0,"[0.8831614264892881, 0.11683857351071196]",0.11683857351071196
0,0,"[0.7704083311695413, 0.22959166883045867]",0.22959166883045867
0,0,"[0.8599489370994273, 0.1400510629005727]",0.1400510629005727
1,0,"[0.585396312428305, 0.4146036875716949]",0.4146036875716949
0,1,"[0.7874399676582917, 0.21256003234170825]",0.21256003234170825
0,0,"[0.8599489370994273, 0.1400510629005727]",0.1400510629005727
0,0,"[0.9122937866404577, 0.08770621335954232]",0.08770621335954232
1,1,"[0.3191127301226332, 0.6808872698773668]",0.6808872698773668
0,0,"[0.7874399676582917, 0.21256003234170825]",0.21256003234170825
1,0,"[0.6522766668214885, 0.34772333317851145]",0.34772333317851145
1,0,"[0.16162073875766025, 0.8383792612423397]",0.8383792612423397
1,0,"[0.7145135439856292, 0.2854864560143708]",0.2854864560143708
1,1,"[0.5393376982301127, 0.4606623017698873]",0.4606623017698873
1,1,"[0.7145135439856292, 0.2854864560143708]",0.2854864560143708
0,0,"[0.83347708288095, 0.16652291711905]",0.16652291711905
1,1,"[0.4699323248180929, 0.5300676751819071]",0.5300676751819071
0,0,"[0.8189802384140571, 0.1810197615859429]",0.1810197615859429
0,0,"[0.83347708288095, 0.16652291711905]",0.16652291711905
0,0,"[0.8599489370994273, 0.1400510629005727]",0.1400510629005727
1,0,"[0.4024116861115917, 0.5975883138884083]",0.5975883138884083
0,0,"[0.9418466463066032, 0.058153353693396775]",0.058153353693396775
0,0,"[0.9282838146071573, 0.07171618539284269]",0.07171618539284269
1,0,"[0.5393376982301127, 0.4606623017698873]",0.4606623017698873
1,0,"[0.5393376982301127, 0.4606623017698873]",0.4606623017698873
0,0,"[0.8189802384140571, 0.1810197615859429]",0.1810197615859429
0,0,"[0.9122937866404577, 0.08770621335954232]",0.08770621335954232
1,0,"[0.7145135439856292, 0.2854864560143708]",0.2854864560143708
1,1,"[0.20067657271692552, 0.7993234272830745]",0.7993234272830745
0,0,"[0.8831614264892881, 0.11683857351071196]",0.11683857351071196
0,1,"[0.8831614264892881, 0.11683857351071196]",0.11683857351071196
0,0,"[0.9707048332245993, 0.02929516677540072]",0.02929516677540072
1,0,"[0.6944028457032982, 0.30559715429670176]",0.30559715429670176
1,0,"[0.7145135439856292, 0.2854864560143708]",0.2854864560143708
0,0,"[0.7704083311695413, 0.22959166883045867]",0.22959166883045867
0,0,"[0.8471295039008668, 0.15287049609913317]",0.15287049609913317
1,1,"[0.0810236904112388, 0.9189763095887612]",0.9189763095887612
0,0,"[0.8936017767822351, 0.10639822321776493]",0.10639822321776493
1,0,"[0.4699323248180929, 0.5300676751819071]",0.5300676751819071
0,0,"[0.9825549982396417, 0.017445001760358344]",0.017445001760358344
0,0,"[0.9418466463066032, 0.058153353693396775]",0.058153353693396775
0,0,"[0.9418466463066032, 0.058153353693396775]",0.058153353693396775
1,1,"[0.3191127301226332, 0.6808872698773668]",0.6808872698773668
