y_pred,y_true,y_score,y_probscore
1,0,"[-7, 8]",8
0,0,"[1, 0]",0
1,1,"[-5, 6]",6
0,0,"[-2, 3]",3
0,0,"[-2, 3]",3
1,0,"[-6, 7]",7
1,0,"[-9, 10]",10
1,0,"[-8, 9]",9
0,0,"[-1, 2]",2
1,0,"[-5, 6]",6
1,0,"[-17, 18]",18
1,0,"[-8, 9]",9
0,0,"[0, 1]",1
0,0,"[-1, 2]",2
1,0,"[-5, 6]",6
1,1,"[-4, 5]",5
1,0,"[-3, 4]",4
0,0,"[0, 1]",1
1,1,"[-10, 11]",11
1,0,"[-3, 4]",4
1,1,"[-9, 10]",10
1,0,"[-6, 7]",7
1,0,"[-8, 9]",9
1,1,"[-6, 7]",7
1,0,"[-6, 7]",7
1,1,"[-3, 4]",4
1,1,"[-3, 4]",4
0,0,"[-1, 2]",2
0,0,"[0, 1]",1
1,0,"[-5, 6]",6
0,0,"[0, 1]",1
0,0,"[-1, 2]",2
1,0,"[-7, 8]",8
1,1,"[-10, 11]",11
1,0,"[-3, 4]",4
0,0,"[-2, 3]",3
1,0,"[-5, 6]",6
0,0,"[0, 1]",1
1,0,"[-4, 5]",5
1,0,"[-5, 6]",6
1,0,"[-4, 5]",5
1,1,"[-3, 4]",4
1,0,"[-8, 9]",9
0,0,"[0, 1]",1
1,1,"[-8, 9]",9
1,0,"[-3, 4]",4
1,0,"[-5, 6]",6
1,0,"[-9, 10]",10
0,0,"[0, 1]",1
1,1,"[-4, 5]",5
1,1,"[-9, 10]",10
0,0,"[-1, 2]",2
0,1,"[-1, 2]",2
0,0,"[0, 1]",1
1,0,"[-4, 5]",5
1,0,"[-5, 6]",6
1,0,"[-3, 4]",4
1,0,"[-8, 9]",9
1,0,"[-3, 4]",4
1,0,"[-8, 9]",9
1,0,"[-8, 9]",9
1,0,"[-3, 4]",4
0,0,"[-2, 3]",3
0,0,"[0, 1]",1
1,1,"[-14, 15]",15
1,0,"[-5, 6]",6
0,1,"[-2, 3]",3
